Maharashtra,7870000,100044
Kerala,6520000,67008
Karnataka,3940000,40026
Tamil Nadu,3450000,38024
Andhra Pradesh,2320000,14730
Uttar Pradesh,2070000,23492
West Bengal,2020000,21191
Delhi,1860000,26144
Odisha,1290000,9115
Rajasthan,1280000,9551
Gujarat,1220000,10939
Chhattisgarh,1080000,14034
Madhya Pradesh,1040000,10733
Haryana,984000,10591
Bihar,830000,12255
Telangana,791000,4111
Punjab,759000,17737
Assam,724000,6639
Jammu and Kashmir,453000,4750
Uttarakhand,437000,7689
Jharkhand,435000,5315
Himachal Pradesh,284000,4130
Goa,245000,3830
Mizoram,222000,672
Puducherry,166000,1962
Manipur,137000,2118
Tripura,101000,919
Meghalaya,93688,1590
Chandigarh,91873,1165
Arunachal Pradesh,64483,296
Sikkim,39111,447
Nagaland,35455,757
Ladakh,28192,228
Dadra and Nagar Haveli and Daman and Diu,11441,4
Lakshadweep,11402,52
Andaman and Nicobar Islands,10029,129
